left foot,,,,,,,,,,,,,,right foot,,,,,,,,,,,,,
accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_left,TO_left,turnLeft,turnRight,angleX_Left,angleY_Left,angleZ_Left,FF,accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_right,TO_right,turnLeft,turnRight,angleX_Right,angleY_Right,angleZ_Right,FF
-0.010299,-1.008473,-0.002416,-0.146886,0.092139,0.338812,0,0,0,0,0,0,0,1,0.054185,-0.993654,-0.054751,0.089648,0.262083,-0.034515,0,0,0,0,0,0,0,1
-0.002313,-1.00052,-0.013696,-0.455956,0.122536,0.312291,0,0,0,0,0,0,0,1,0.05423,-1.00152,-0.050781,-0.060331,0.201138,-0.032276,0,0,0,0,0,0,0,1
-0.006288,-0.996638,-0.002226,-0.484317,0.245034,0.378907,0,0,0,0,0,0,0,1,0.050214,-0.993695,-0.058629,-0.213978,0.323419,0.125492,0,0,0,0,0,0,0,1
-0.010285,-1.000548,-0.00609,-0.642023,0.184535,0.165733,0,0,0,0,0,0,0,1,0.046344,-1.001539,-0.050717,-0.332911,0.201463,0.034409,0,0,0,0,0,0,0,1
-0.010293,-1.004497,-0.006154,-0.731921,0.213745,0.409278,0,0,0,0,0,0,0,1,0.046316,-1.00157,-0.054627,-0.521892,0.4161,0.04057,0,0,0,0,0,0,0,1
-0.010278,-0.996599,-0.006026,-0.856223,0.213887,0.349787,0,0,0,0,0,0,0,1,0.038466,-1.005507,-0.050623,-0.427048,0.323906,0.098999,0,0,0,0,0,0,0,1
-0.010276,-0.996626,-0.002225,-0.706037,0.030654,0.188766,0,0,0,0,0,0,0,1,0.038438,-1.005538,-0.054533,-0.425007,0.232247,0.036566,0,0,0,0,0,0,0,1
-0.010282,-1.000601,0.001513,-0.60716,0.430364,0.177628,0,0,0,0,0,0,0,1,0.034484,-0.985775,-0.050742,-0.244812,0.232365,-0.12032,0,0,0,0,0,0,0,1
-0.010295,-1.004471,-0.009955,-0.142247,0.306514,0.470102,0,0,0,0,0,0,0,1,0.050258,-1.00156,-0.054659,-0.064492,0.202053,-0.3389,0,0,0,0,0,0,0,1
-0.006301,-1.000508,-0.013695,-0.452512,0.337592,0.322887,0,0,0,0,0,0,0,1,0.046308,-0.997622,-0.054657,-0.065034,0.232575,-0.307868,0,0,0,0,0,0,0,1
-0.010278,-0.996599,-0.006026,-0.482841,0.337201,0.383448,0,0,0,0,0,0,0,1,0.042393,-0.9976,-0.050715,-0.180638,0.109888,-0.153652,0,0,0,0,0,0,0,1
-0.006299,-1.000534,-0.009893,-0.419776,0.243599,0.650043,0,0,0,0,0,0,0,1,0.054185,-0.993654,-0.054751,-0.451554,0.109848,0.035683,0,0,0,0,0,0,0,1
-0.010293,-1.004497,-0.006154,-1.009151,0.15066,0.619392,0,0,0,0,0,0,0,1,0.058128,-0.993644,-0.054782,-0.420633,0.079269,0.004055,0,0,0,0,0,0,0,1
-0.010293,-1.004497,-0.006154,-1.03969,0.212396,0.562286,0,0,0,0,0,0,0,1,0.042336,-0.997662,-0.058535,-0.665582,0.140949,0.00956,0,0,0,0,0,0,0,1
-0.002313,-1.00052,-0.013696,-0.573898,0.181054,0.798954,0,0,0,0,0,0,0,1,0.046263,-0.989756,-0.058627,-0.916114,0.447083,0.171333,0,0,0,0,0,0,0,1
-0.010285,-1.000548,-0.00609,-0.41758,0.211342,0.920093,0,0,0,0,0,0,0,1,0.054169,-0.985757,-0.054811,-1.357934,0.110446,0.421501,0,0,0,0,0,0,0,1
-0.010285,-1.000548,-0.00609,0.452433,0.241408,1.277701,0,0,0,0,0,0,0,1,0.046242,-0.993735,-0.062507,-1.690566,0.141132,0.612397,0,0,0,0,0,0,0,1
0.001688,-0.996662,-0.002229,0.768759,0.268875,1.940898,0,0,0,0,0,0,0,1,0.046336,-0.997591,-0.050747,-2.14663,0.233273,0.806414,0,0,0,0,0,0,0,1
-0.010302,-1.00842,-0.010019,0.213965,0.328915,2.038297,0,0,0,0,0,0,0,1,0.046279,-0.997653,-0.058567,-2.471888,-0.011291,0.901997,0,0,0,0,0,0,0,1
-0.006314,-1.008432,-0.01002,-0.060645,0.636374,1.934664,0,0,0,0,0,0,0,1,0.046221,-0.997714,-0.066387,-2.654163,-0.010952,0.905571,0,0,0,0,0,0,0,1
-0.002315,-1.004548,-0.002355,-0.028823,0.635912,2.024971,0,0,0,0,0,0,0,1,0.050258,-1.00156,-0.054659,-2.782511,0.234003,0.972235,0,0,0,0,0,0,0,1
-0.014283,-1.004459,-0.009954,-0.578204,1.033897,2.139021,0,0,0,0,0,0,0,1,0.058071,-0.993706,-0.062602,-2.377877,-0.103302,0.899101,0,0,0,0,0,0,0,1
-0.006286,-0.996664,0.001575,0.141342,1.154347,2.773803,0,0,0,0,0,0,0,1,0.046234,-0.989787,-0.062537,-2.70626,-0.195163,1.119181,0,0,0,0,0,0,0,1
-0.006288,-0.996638,-0.002226,-1.059775,1.521591,2.709789,0,0,0,0,0,0,0,1,0.054177,-0.989706,-0.054781,-3.58201,-0.255483,1.381014,0,0,0,0,0,0,0,1
-0.010278,-0.996599,-0.006026,-0.809765,1.458497,3.067135,0,0,0,0,0,0,0,1,0.042349,-0.989735,-0.054685,-4.393421,-0.377511,1.763567,0,0,0,0,0,0,0,1
-0.010272,-0.992624,-0.009764,0.146752,0.965238,3.609586,0,0,0,0,0,0,0,1,0.046266,-1.00558,-0.062417,-4.968128,-0.376986,1.958858,0,0,0,0,0,0,0,1
-0.010296,-1.004445,-0.013757,0.273831,1.025517,3.853148,0,0,0,0,0,0,0,1,0.042266,-1.005652,-0.070205,-2.877204,-0.622961,0.964269,0,0,0,0,0,0,0,1
-0.010287,-1.000522,-0.009892,0.516778,0.935453,3.545158,0,0,0,0,0,0,0,1,0.046237,-1.005611,-0.066327,-2.78386,-0.654019,1.054099,0,0,0,0,0,0,0,1
-0.014284,-1.004433,-0.013756,0.86477,1.27258,3.800845,0,0,0,0,0,0,0,1,0.046237,-1.005611,-0.066327,-2.361049,-0.654261,0.861786,0,0,0,0,0,0,0,1
-0.014279,-1.004512,-0.002351,0.332978,1.120171,3.434828,0,0,0,0,0,0,0,1,0.046193,-0.997745,-0.070297,-2.305748,-0.440351,0.955169,0,0,0,0,0,0,0,1
-0.014281,-1.004485,-0.006153,-0.720553,1.367672,2.850736,0,0,0,0,0,0,0,1,0.050238,-1.00554,-0.058539,-3.075097,-0.163139,0.8814,0,0,0,0,0,0,0,1
-0.018245,-0.992652,-0.002159,-1.061832,1.336745,2.791228,0,0,0,0,0,0,0,1,0.050345,-1.001468,-0.042929,-3.590545,-0.10159,1.106901,0,0,0,0,0,0,0,1
-0.014283,-1.004459,-0.009954,-1.456282,1.734808,2.934382,0,0,0,0,0,0,0,1,0.046292,-0.989725,-0.054717,-4.649363,-0.070187,1.526729,0,0,0,0,0,0,0,1
-0.014275,-1.00051,-0.00989,-0.832872,1.702009,3.471717,0,0,0,0,0,0,0,1,0.050214,-0.993695,-0.058629,-5.198732,0.144213,1.846661,0,0,0,0,0,0,0,1
